MIN;AVG;MAX
8;56;65
20;54;68
32;59;70
37;61;69
26;62;70
39;60;67
33;56;63
13;53;65
27;54;64
31;58;69
37;60;70
39;63;70
11;56;68
37;64;71
39;65;73
38;61;72
37;66;73
38;64;72
17;58;72
20;55;67
33;50;66
28;44;67
28;46;65
29;45;67
15;55;71
27;57;69
38;59;69
38;62;71
38;64;70
40;60;69
34;57;69
40;62;70
30;56;66
34;54;64
35;61;68
41;60;69
37;62;68
15;60;70
39;64;72
38;64;73
34;64;76
41;66;75
42;66;74
39;66;73
38;64;74
40;66;73
31;66;73
39;66;74
41;67;74
39;68;74
35;65;75
39;67;73
41;65;74
41;64;72
40;64;72
57;74;82
34;71;83
38;64;73
39;65;74
28;59;72
38;60;70
38;62;70
37;62;70
40;61;70
41;63;71
37;62;70
37;64;72
37;64;72
41;62;70
40;63;72
36;63;71
39;62;71
39;63;69
37;62;70
38;62;71
39;62;71
39;64;72
40;64;72
36;60;72
32;49;65
17;56;70
39;63;72
40;64;73
41;65;72
33;65;72
36;65;72
41;64;72
39;63;72
38;63;71
35;64;71
41;62;70
37;65;72
38;65;72
39;62;73
39;64;71
39;65;72
41;62;71
40;63;70
38;63;71
40;63;71
41;62;72
39;66;72
41;65;72
36;64;72
38;65;72
41;65;71
34;64;71
41;64;70
41;63;71
42;64;72
40;64;71
40;65;72
41;65;73
39;65;71
39;63;72
36;65;72
30;62;71
41;64;71
34;63;70
41;63;72
35;62;71
29;60;72
35;60;68
36;59;70
41;63;70
33;60;67
34;56;68
31;56;66
16;52;64
36;59;69
35;62;69
41;64;70
14;60;70
39;63;72
34;63;74
35;64;75
30;61;73
37;57;68
33;54;65
30;45;64
27;46;65
31;42;63
32;50;73
38;68;88
14;80;88
21;58;69
38;56;70
41;63;70
39;58;66
36;60;70
41;61;69
30;57;70
34;56;66
33;55;66
34;55;65
39;60;68
41;61;68
25;56;67
36;56;65
37;61;68
38;64;70
38;59;69
38;63;70
39;65;72
40;64;71
40;64;71
41;63;70
40;62;71
39;60;70
34;60;74
34;56;68
30;49;71
29;46;65
30;47;70
32;51;70
38;67;84
21;70;83
33;59;72
36;61;73
41;67;74
39;65;75
38;60;70
36;59;68
34;58;65
32;51;62
36;57;69
40;61;70
32;60;69
28;58;68
39;61;70
37;62;72
39;61;72
36;58;73
37;64;76
35;59;76
31;52;72
27;49;71
31;48;73
32;48;65
30;66;86
17;74;88
39;65;73
36;61;73
35;64;74
41;65;74
41;62;71
31;57;67
38;60;68
35;59;66
37;60;70
39;62;69
16;61;69
39;63;70
34;63;71
40;63;68
41;63;69
37;63;70
38;62;69
40;62;69
30;61;70
30;57;67
33;56;69
36;62;71
42;65;72
31;60;72
33;61;71
37;64;74
40;65;76
38;65;74
40;68;77
37;69;76
34;68;77
37;68;79
40;66;75
43;64;75
43;67;76
40;67;75
43;67;76
41;68;77
42;69;77
40;68;75
42;70;77
39;69;76
40;68;75
40;68;74
41;69;76
40;67;75
42;67;76
42;67;77
41;70;76
40;69;75
40;67;77
41;69;77
43;69;77
39;68;76
39;67;76
42;67;76
42;68;76
41;68;76
39;69;76
42;69;76
36;70;77
41;67;76
43;68;76
41;68;74
40;68;75
42;67;77
39;66;76
37;69;76
38;68;77
41;69;78
42;68;76
38;67;76
41;68;76
39;69;75
34;65;75
53;69;75
39;68;77
40;69;77
44;68;77
44;69;77
44;69;77
38;69;77
39;67;76
41;68;75
43;67;75
42;69;75
41;69;76
40;70;76
40;70;76
41;69;78
37;69;77
43;68;78
42;68;75
44;68;75
43;68;76
40;67;76
43;68;76
39;70;77
39;68;77
40;69;76
40;69;76
44;68;77
39;65;75
38;68;76
38;66;75
43;65;74
42;69;77
41;68;78
41;69;77
37;67;76
40;69;76
43;68;77
44;67;77
38;68;77
39;68;76
41;68;76
43;69;78
43;70;77
44;69;77
43;69;75
42;70;77
42;67;76
38;67;75
38;67;77
40;68;75
39;65;75
38;68;78
41;69;78
38;69;76
40;68;75
40;69;77
44;67;76
43;68;76
42;66;76
42;68;76
40;66;76
39;66;76
42;70;77
40;68;77
40;68;76
35;68;77
39;67;76
54;68;76
41;67;76
38;67;76
29;64;75
38;68;78
30;63;76
27;60;73
31;60;71
16;54;71
34;52;70
