MIN;AVG;MAX
3;51;85
17;52;71
25;56;71
33;58;74
35;62;76
26;62;76
33;61;74
21;60;76
35;59;72
10;58;75
33;58;70
25;58;75
25;62;76
30;61;74
4;59;84
22;50;65
30;55;64
29;53;65
24;53;65
34;53;67
16;56;68
32;59;68
31;57;69
29;56;65
18;52;61
25;53;68
26;57;67
32;57;68
29;55;67
31;58;67
32;59;69
31;57;67
29;57;72
23;53;75
36;60;80
35;62;80
32;59;72
37;61;71
31;59;72
34;60;71
28;57;70
5;50;65
4;45;73
29;49;63
28;47;63
26;48;65
29;47;61
3;49;65
3;16;43
21;44;60
17;49;62
20;49;61
19;46;57
26;48;59
19;51;63
18;51;65
18;50;63
18;52;65
30;53;61
24;50;62
29;52;60
17;49;63
16;51;61
18;51;63
19;51;63
26;55;67
5;53;68
4;51;82
23;48;61
28;53;65
29;52;66
27;51;62
32;56;65
30;51;66
30;51;67
29;47;68
28;52;67
20;53;63
31;51;63
30;55;67
32;57;69
29;57;68
27;53;70
