MIN;AVG;MAX
3;47;76
3;34;67
14;56;75
6;55;82
18;60;75
28;61;74
25;61;76
35;62;74
29;61;75
33;62;74
30;61;73
36;61;75
37;62;78
36;62;78
36;62;76
35;63;75
36;62;75
35;61;73
33;61;72
35;62;73
37;61;73
35;62;74
35;62;75
39;62;76
37;62;76
26;62;76
26;63;75
36;61;73
37;62;75
34;61;75
38;61;73
35;62;75
37;62;75
37;61;78
37;62;75
25;63;75
38;62;75
35;61;74
37;61;74
27;62;75
37;62;74
37;61;75
35;62;75
26;62;75
36;62;75
34;62;76
36;62;76
32;55;73
33;58;73
7;52;79
17;57;74
28;55;70
33;59;71
37;60;74
25;61;74
36;61;69
35;59;69
26;56;69
11;54;66
31;56;65
22;47;61
30;52;67
34;59;70
5;46;68
32;51;60
9;49;63
9;55;72
20;56;68
26;57;68
32;58;65
35;58;66
34;58;66
35;57;67
34;57;64
30;55;65
28;53;64
34;58;67
27;51;66
7;50;65
19;47;57
16;46;58
32;50;58
29;49;60
9;48;74
36;59;74
26;59;74
37;61;74
36;61;73
35;59;67
23;57;69
35;60;69
34;60;68
33;57;68
10;52;66
37;61;78
33;59;70
34;59;70
35;59;72
32;59;68
36;60;68
31;58;68
34;59;69
36;59;69
36;58;71
33;58;68
36;59;68
34;60;69
33;60;70
36;59;69
26;60;70
36;60;70
35;60;69
36;61;71
33;61;69
33;60;70
36;61;70
33;61;70
36;59;69
35;59;67
31;59;69
36;59;69
22;55;71
32;59;69
39;60;77
37;62;75
23;60;77
36;61;79
22;56;69
34;59;73
37;62;76
34;61;78
23;57;74
38;59;77
8;57;75
