MIN;AVG;MAX
7;67;77
42;68;77
34;69;76
27;64;73
36;67;74
39;67;73
41;68;74
33;58;73
21;60;73
39;66;75
38;69;76
38;66;75
39;65;74
27;60;73
33;59;72
7;58;70
10;63;71
32;60;75
35;66;73
35;65;75
19;64;76
11;66;77
25;54;69
34;59;70
36;56;69
37;57;70
34;57;71
34;60;70
16;55;68
5;54;63
20;51;69
21;49;68
8;49;67
21;49;65
25;56;65
35;59;65
36;60;65
34;58;66
35;59;65
30;58;64
33;58;65
32;57;66
23;54;62
35;57;66
32;60;66
35;60;66
17;56;66
16;56;68
43;66;75
43;70;76
40;67;76
44;70;76
41;69;76
40;70;76
42;69;76
39;68;75
38;69;75
40;70;75
39;69;75
41;68;74
39;69;74
40;68;74
42;69;74
39;69;74
41;68;74
38;66;74
32;61;74
42;63;73
38;66;74
26;64;74
38;64;70
40;67;75
42;69;75
39;65;75
36;66;75
40;63;70
42;63;73
38;65;76
40;68;76
44;70;76
42;70;76
31;59;74
15;61;75
35;55;74
44;70;77
42;70;76
36;69;76
