MIN;AVG;MAX
9;60;73
38;60;74
29;59;71
28;57;74
33;61;74
35;60;73
22;58;73
38;61;71
36;60;72
37;59;70
35;58;70
33;56;69
22;59;69
39;62;74
42;61;73
42;62;74
38;62;75
38;63;75
38;62;76
40;63;76
34;62;76
41;62;74
39;62;73
40;62;76
41;63;76
33;63;76
40;63;76
39;62;76
28;63;75
40;63;76
37;60;74
21;59;74
9;57;70
38;59;74
40;61;75
39;62;75
24;57;72
35;58;74
33;60;77
36;62;77
39;61;75
36;62;74
7;56;72
32;60;85
41;64;87
34;63;78
34;64;77
41;62;78
38;62;78
40;63;77
39;63;75
39;63;74
39;62;77
42;63;83
43;64;85
39;64;86
39;62;77
20;60;76
40;63;77
38;62;78
39;62;78
38;64;78
35;58;77
32;63;77
29;61;78
32;59;81
41;61;84
32;58;84
