MIN;AVG;MAX
9;62;77
16;68;85
32;77;90
47;75;82
48;70;78
46;68;76
30;66;75
9;63;73
23;63;74
39;66;74
45;66;75
14;67;78
15;66;78
37;61;69
38;61;72
56;65;72
42;64;71
38;62;71
35;59;69
22;55;67
38;53;63
39;59;68
42;58;70
22;58;69
30;58;66
44;61;71
45;60;70
21;56;70
17;56;71
43;57;70
42;59;70
40;62;71
36;60;70
43;58;65
28;54;63
35;58;70
44;63;69
45;62;69
40;59;69
42;60;69
38;57;68
19;58;70
40;57;64
40;59;68
40;57;64
28;52;62
34;50;57
37;49;56
38;53;61
27;55;62
42;60;74
36;56;65
35;59;64
36;55;64
35;53;62
36;53;64
33;53;61
35;54;61
37;57;65
37;59;66
31;59;66
35;54;62
26;58;67
40;61;70
43;62;69
42;60;68
37;62;68
33;58;67
37;54;66
34;54;64
39;55;65
36;55;66
38;55;66
45;56;66
41;55;66
45;57;66
36;55;66
35;56;67
42;54;59
39;55;65
38;55;67
35;56;67
39;59;68
40;58;68
18;61;75
45;65;74
39;60;73
43;60;70
40;59;72
37;62;75
41;58;70
34;57;69
19;54;66
35;57;67
36;61;69
41;57;65
18;59;70
40;59;69
20;57;71
42;59;67
39;56;69
38;60;70
39;56;65
27;56;66
35;57;66
40;59;68
39;59;67
45;64;74
40;60;75
25;55;67
35;54;65
37;56;66
34;54;69
43;60;70
30;51;63
37;53;63
37;53;61
36;52;63
37;53;64
38;54;61
26;50;62
20;53;64
36;54;65
39;56;65
40;58;66
36;56;66
41;58;65
33;56;65
36;58;66
40;59;65
40;58;64
39;56;63
30;52;61
39;52;63
37;51;60
37;56;64
35;52;64
36;53;65
36;49;64
37;53;65
30;54;65
31;56;66
6;46;66
30;45;52
28;44;53
29;43;51
30;47;54
30;44;52
27;44;53
12;34;48
27;37;47
27;37;47
28;38;47
30;40;46
26;39;48
27;39;48
26;40;48
16;40;48
16;40;48
17;39;46
14;38;48
14;35;47
26;39;46
26;40;47
27;38;46
14;39;47
15;39;48
14;41;48
18;39;48
19;42;49
17;39;48
17;37;47
18;41;48
20;42;48
31;43;48
26;39;48
16;32;48
29;41;48
16;36;47
16;34;48
3;33;46
3;33;46
16;30;45
16;40;47
17;39;48
14;38;48
29;41;46
26;40;47
3;24;39
14;37;46
18;37;47
28;40;48
18;35;42
27;36;47
26;41;48
15;43;57
6;48;57
10;49;57
6;45;57
6;32;51
33;45;52
29;41;51
30;45;54
3;42;54
30;43;52
20;43;53
25;44;54
20;43;55
19;45;55
23;46;56
31;49;54
24;47;55
33;50;54
30;47;53
32;47;54
30;48;57
20;37;55
15;42;54
31;48;53
32;47;54
31;47;53
33;48;54
30;49;54
32;48;54
25;43;53
32;47;54
30;46;53
24;45;54
28;45;52
