MIN;AVG;MAX
8;56;68
36;61;70
19;58;71
22;58;71
22;60;72
24;59;72
22;61;73
52;65;73
36;64;73
36;60;65
35;58;71
36;60;65
40;62;70
35;60;68
32;57;66
40;64;71
19;55;66
35;57;62
33;58;62
31;56;63
20;57;65
35;57;63
23;55;65
36;61;66
36;61;66
37;61;65
37;61;65
35;61;65
31;59;67
21;57;64
35;60;66
37;61;66
36;62;66
37;61;66
36;63;67
34;61;67
35;60;66
29;53;66
38;63;73
34;64;75
34;62;76
36;59;66
34;56;65
33;53;63
36;56;67
37;64;75
41;63;73
36;66;75
34;62;76
33;60;67
32;57;67
24;57;66
30;54;66
31;58;73
36;62;75
42;67;75
33;57;66
37;56;66
34;60;65
