MIN;AVG;MAX
10;72;89
19;69;86
44;71;87
44;68;79
21;64;75
36;61;70
37;63;72
29;58;74
11;58;70
31;63;76
39;67;77
38;66;77
17;64;76
33;61;71
17;59;74
36;60;72
39;66;72
41;66;72
38;61;72
38;61;70
37;59;70
38;65;74
42;68;74
41;65;74
37;63;71
40;61;72
19;55;69
39;59;70
39;66;73
34;61;71
33;61;70
38;60;69
33;58;68
36;59;66
38;62;68
39;62;67
36;58;66
35;57;65
32;54;63
33;58;69
32;64;71
38;64;71
35;63;71
38;59;71
37;61;68
39;60;68
38;61;69
39;62;69
33;59;71
40;64;72
40;65;72
38;64;72
38;63;71
40;64;70
41;62;69
39;60;69
3;47;66
29;46;58
16;40;57
23;44;61
24;47;61
15;42;58
22;33;38
18;33;38
29;34;38
18;30;36
5;30;37
7;55;65
9;57;64
33;56;64
35;58;64
8;55;63
9;51;67
8;59;70
10;52;61
8;47;62
33;51;62
35;55;62
20;53;62
33;56;62
35;56;65
33;53;64
34;55;63
