MIN;AVG;MAX
9;29;50
22;28;31
22;29;31
23;29;31
25;29;31
22;29;31
21;29;30
14;27;30
22;28;30
22;28;30
22;27;30
8;25;29
22;26;29
21;28;30
24;29;30
24;29;30
20;28;30
24;29;30
21;27;30
22;28;30
24;28;30
24;29;30
19;27;30
21;26;29
25;28;30
21;27;30
15;26;30
22;27;29
23;28;30
20;29;31
22;29;31
24;29;31
23;28;30
22;26;30
21;28;30
23;27;30
22;29;30
21;27;30
22;28;30
21;26;30
16;26;30
17;27;29
5;24;29
8;19;29
14;24;29
15;25;29
19;27;30
14;27;30
20;27;30
20;27;29
20;27;29
20;26;29
14;26;29
19;27;29
8;26;29
21;27;32
26;31;34
20;28;34
18;27;29
20;28;29
22;28;30
20;28;29
20;28;30
21;28;29
21;27;29
20;28;30
22;28;30
17;27;29
13;25;29
