MIN;AVG;MAX
11;68;85
43;72;88
34;77;89
28;79;88
53;78;85
48;70;81
30;66;75
19;74;83
41;69;81
66;78;83
49;74;83
20;75;83
18;73;82
51;76;87
50;78;85
48;80;86
51;80;88
48;78;88
48;76;87
49;77;86
44;72;85
3;43;81
34;50;58
33;52;58
28;50;58
31;48;56
23;47;57
32;46;57
30;45;57
23;46;56
33;46;56
30;45;54
14;43;54
22;46;53
32;48;56
29;44;55
18;44;56
18;48;57
21;48;58
21;51;59
18;48;59
18;48;56
34;52;56
29;44;51
24;45;52
32;47;52
30;46;54
32;48;54
17;42;52
22;62;77
42;67;76
45;69;75
44;68;75
46;68;75
43;67;72
37;62;72
39;65;73
19;60;72
35;62;71
40;67;73
44;68;72
42;68;73
21;64;73
43;64;74
19;62;74
43;64;70
43;64;70
44;66;71
42;66;71
43;63;71
35;64;72
42;67;72
38;63;73
18;63;72
41;64;69
39;58;68
43;63;68
38;64;68
40;64;68
41;63;67
43;64;69
43;62;67
38;60;67
24;57;65
40;60;68
42;65;69
44;63;69
18;62;69
43;61;68
39;59;70
20;62;70
42;63;69
42;65;69
43;64;69
44;66;70
43;66;70
41;63;70
32;54;68
34;61;71
14;44;69
32;46;55
32;47;54
27;48;56
34;47;55
33;49;55
16;47;56
32;48;56
21;49;57
22;48;56
34;52;56
18;47;55
27;43;55
28;48;55
30;47;54
21;49;56
19;47;56
20;45;55
21;51;55
16;46;55
33;49;55
36;50;56
19;50;55
17;49;56
17;50;56
32;52;56
33;52;56
20;51;56
21;50;56
31;50;56
19;39;52
3;42;53
20;49;55
35;50;55
30;48;54
31;50;55
33;52;55
32;51;55
30;49;54
32;47;54
30;46;55
34;49;56
15;58;71
46;64;70
42;65;71
47;66;71
38;65;70
40;62;70
41;61;70
43;62;71
46;65;70
44;61;68
40;61;68
38;57;68
21;68;76
45;71;77
46;68;76
36;63;75
42;67;77
45;69;77
43;66;76
36;63;73
39;61;73
19;63;72
41;64;74
43;69;74
36;69;74
21;66;74
20;63;73
40;61;69
43;65;72
42;64;71
44;66;72
43;67;73
45;66;72
39;61;72
39;60;71
38;55;66
37;61;71
13;50;72
31;47;57
33;49;55
32;49;54
32;48;55
36;51;56
18;49;56
35;52;56
20;44;55
35;51;56
35;51;56
20;46;55
17;48;55
19;48;56
17;49;56
35;50;56
21;41;54
3;40;55
23;48;54
33;51;55
32;48;55
35;49;55
35;51;55
31;49;54
31;51;56
31;48;55
18;67;76
40;68;77
47;68;76
44;67;75
42;65;76
45;68;74
45;66;73
26;61;73
37;60;71
23;63;72
42;61;71
47;66;75
58;71;75
20;68;75
19;65;74
35;62;70
44;63;71
49;67;72
49;66;71
51;67;71
49;67;72
45;68;72
45;67;71
47;66;71
50;67;72
49;67;71
49;67;72
47;68;72
42;66;72
43;67;72
49;67;71
50;67;72
50;67;71
38;64;72
42;62;70
42;62;71
40;61;70
38;61;69
46;62;70
43;59;70
45;65;71
45;61;71
38;59;70
17;56;65
16;55;64
19;55;62
37;56;65
10;54;64
36;58;64
38;59;64
38;60;64
37;57;64
37;56;64
34;54;62
38;56;61
35;58;63
37;55;62
29;56;63
30;50;60
37;55;62
37;57;64
19;58;67
43;65;69
47;64;70
45;64;70
39;60;67
46;63;68
40;58;67
49;64;69
46;59;67
26;58;67
39;58;66
45;62;70
46;63;70
21;63;70
42;61;70
43;61;70
19;62;72
44;64;70
48;64;69
47;65;70
48;64;70
44;63;69
45;64;70
47;66;71
49;66;70
46;65;71
42;65;71
49;66;71
49;64;71
45;60;71
