MIN;AVG;MAX
10;53;66
40;59;66
34;58;66
32;56;64
33;54;63
26;57;74
35;62;74
41;62;75
39;62;75
37;62;75
38;61;72
38;61;72
33;62;74
41;62;75
33;63;76
35;61;74
38;58;75
31;60;73
28;58;75
37;60;75
36;59;75
39;57;74
28;58;75
28;57;75
10;45;74
34;47;56
32;51;56
33;47;56
36;49;56
18;45;56
39;52;56
20;44;57
20;48;56
23;47;56
33;51;57
35;48;55
33;46;56
36;48;56
21;47;56
20;46;56
33;51;57
20;44;56
18;42;56
16;50;57
20;51;56
16;46;56
35;53;57
39;52;56
38;53;56
38;52;56
35;52;56
33;52;56
37;53;57
38;53;56
39;53;56
38;53;57
36;53;57
34;53;57
39;51;56
34;52;57
38;51;56
18;47;57
21;50;56
20;48;56
19;51;60
42;61;74
41;62;75
39;63;75
40;61;73
40;61;72
41;61;72
42;62;72
39;63;75
31;61;73
33;60;74
43;62;74
39;56;73
29;58;74
30;61;73
37;59;76
32;62;76
31;60;75
15;43;74
35;46;55
32;48;54
34;46;54
34;46;55
17;45;55
19;47;55
23;46;55
20;46;55
22;47;54
36;51;55
30;51;55
38;52;55
38;49;55
37;48;55
19;43;54
33;45;55
36;47;55
36;46;55
20;27;50
17;27;53
18;31;53
20;35;53
18;32;51
3;28;51
20;30;52
20;32;52
17;34;55
21;48;55
24;50;55
19;48;56
39;51;55
20;49;56
38;52;56
19;45;56
