MIN;AVG;MAX
12;72;80
54;74;80
50;72;79
4;66;75
53;72;75
45;65;74
56;67;74
36;64;74
35;65;74
3;63;74
46;66;75
48;71;76
54;71;75
8;69;76
50;66;75
47;64;72
50;66;75
49;67;74
25;67;77
36;69;78
53;73;80
53;71;76
49;66;76
22;64;75
48;65;72
29;63;73
48;67;73
48;69;75
9;66;75
52;68;74
34;67;75
37;68;76
48;69;78
47;70;79
3;60;77
21;50;61
38;53;62
40;52;59
36;49;62
37;52;60
37;54;61
39;57;61
40;52;60
36;54;60
36;54;60
35;54;61
38;54;60
34;55;61
34;52;60
15;53;64
31;53;62
31;50;63
14;51;63
34;56;64
34;57;64
37;57;68
27;55;66
19;54;65
33;57;65
34;54;63
3;49;65
3;53;65
12;51;65
19;52;65
24;58;65
21;60;66
20;54;65
38;55;65
20;48;64
18;58;66
22;60;66
37;61;66
28;60;66
22;58;65
26;61;66
20;57;65
23;54;65
20;54;65
19;54;66
20;57;66
17;58;66
21;57;66
20;55;66
22;59;66
22;60;66
22;60;66
24;56;65
23;59;66
20;57;66
36;57;64
