MIN;AVG;MAX
4;47;77
17;47;66
34;58;67
32;57;67
37;60;69
35;58;67
36;60;66
31;58;66
35;59;67
19;51;67
19;49;69
25;60;70
17;57;69
24;59;69
21;55;69
19;56;68
16;53;68
35;55;65
33;57;66
34;55;64
36;58;65
34;59;66
9;53;66
22;54;62
33;53;62
34;50;64
15;56;65
33;55;63
36;54;65
10;51;66
35;51;57
3;44;56
17;47;56
10;45;72
36;60;77
6;56;82
6;59;82
17;57;77
28;63;79
7;58;84
6;58;82
17;61;82
39;63;80
40;61;78
7;59;82
41;63;82
40;64;84
34;61;83
7;58;83
21;55;87
16;61;86
25;61;87
46;63;86
21;63;88
24;56;85
10;56;82
23;61;78
8;57;80
18;63;83
42;63;83
31;64;85
39;63;80
10;56;80
32;62;79
8;60;79
20;59;83
10;54;81
36;61;76
9;55;81
22;62;85
8;59;83
33;63;79
10;55;85
23;63;83
10;54;80
9;57;76
24;59;82
21;56;85
43;63;85
33;61;84
6;54;86
43;63;86
32;60;84
22;57;85
26;61;84
33;61;85
25;59;82
44;63;85
45;63;87
43;63;88
46;63;89
44;63;89
46;63;88
46;63;88
46;63;88
33;64;88
46;63;90
46;64;89
47;63;90
37;64;88
45;63;89
44;64;89
42;63;88
30;59;87
8;59;87
28;62;88
7;54;89
30;60;88
