MIN;AVG;MAX
4;53;63
32;54;61
34;53;62
32;56;63
33;55;63
39;56;63
33;57;62
36;57;64
35;55;61
36;55;62
35;54;61
35;54;62
35;56;62
29;54;63
17;50;60
33;52;62
35;55;63
31;54;62
28;51;60
32;54;62
34;55;62
35;53;61
29;51;59
12;47;59
30;52;62
32;55;63
35;56;63
7;48;62
29;48;56
26;46;57
19;49;62
29;49;62
23;46;61
24;40;58
28;42;58
28;40;58
28;42;61
30;43;60
30;43;60
26;43;60
31;48;66
33;62;80
12;67;81
35;56;65
33;54;64
31;57;65
30;56;63
34;56;63
36;54;62
32;53;62
30;51;59
33;49;59
26;50;60
32;56;64
35;56;65
20;52;63
30;48;55
32;51;58
29;49;58
32;48;57
31;51;59
24;50;58
20;43;57
6;51;65
12;54;65
37;60;68
36;57;64
35;59;69
38;62;68
38;60;67
39;57;67
26;53;62
36;54;63
36;60;68
34;60;67
37;61;68
18;54;65
47;59;68
33;60;71
32;59;71
32;57;68
33;49;66
28;45;63
26;44;66
29;44;66
32;45;68
31;47;67
30;47;68
33;51;71
40;70;88
15;75;88
37;62;71
40;60;71
39;64;70
41;62;69
38;61;68
37;59;68
32;60;69
34;56;66
32;56;65
34;60;69
40;62;71
33;60;69
26;56;66
38;61;67
40;62;70
36;62;68
40;60;70
38;67;72
35;61;72
37;63;71
38;60;71
40;59;67
37;55;67
36;61;68
29;64;79
47;70;81
40;66;72
40;65;71
40;65;72
43;65;72
39;64;73
38;63;70
41;65;71
41;63;72
35;64;71
42;63;72
41;65;72
41;63;69
42;64;72
42;62;72
39;66;72
38;65;70
42;64;71
40;64;72
38;65;71
36;62;71
38;66;73
41;66;71
41;65;72
42;66;73
41;66;72
41;65;71
41;64;70
42;64;72
40;63;71
42;65;72
41;66;73
36;65;72
42;66;72
42;66;72
42;63;71
39;63;71
37;63;71
40;64;71
38;65;70
40;65;72
40;65;73
42;65;72
39;65;71
43;65;72
33;63;70
34;64;71
42;65;71
39;64;73
38;64;72
36;65;72
38;66;73
43;65;73
42;66;72
42;65;71
36;63;70
38;65;72
42;64;72
42;63;71
38;64;71
41;67;72
26;63;71
34;56;66
14;61;71
39;64;70
42;66;72
40;64;71
40;64;70
38;57;70
32;58;68
42;62;69
42;64;70
38;59;67
40;57;70
30;58;68
23;55;65
36;58;70
38;61;70
38;62;70
15;58;70
36;61;70
40;63;76
39;67;74
42;63;74
37;64;75
17;53;75
22;51;64
21;50;63
18;45;62
20;46;62
20;52;64
20;51;64
20;45;63
20;49;64
20;50;64
21;53;65
18;53;64
20;53;64
20;52;64
19;52;63
20;54;66
19;50;65
21;46;64
20;49;64
20;50;65
20;52;63
19;51;63
20;52;64
20;45;62
18;41;63
19;54;65
20;49;64
3;43;63
17;43;60
21;44;63
21;54;65
20;48;65
19;52;64
20;52;65
18;49;65
20;44;62
19;47;65
18;52;65
19;52;63
20;42;59
18;47;62
17;44;63
23;54;63
20;52;66
18;42;63
20;48;64
20;43;64
20;50;65
20;52;64
21;53;63
21;52;64
21;52;63
24;53;64
3;45;63
17;46;63
14;62;72
34;60;71
35;58;70
40;58;70
36;63;70
42;61;71
37;59;68
40;60;68
27;56;67
32;58;70
39;64;71
39;65;71
15;60;70
45;62;71
39;65;74
41;68;77
38;65;76
43;68;76
40;69;75
39;70;76
41;68;76
41;65;74
39;65;77
38;62;73
38;60;74
15;44;69
17;45;64
21;45;65
3;40;61
18;49;64
19;51;63
20;53;64
19;53;64
20;49;64
3;46;63
20;46;64
19;52;66
21;53;65
20;54;66
20;53;63
19;54;64
20;52;64
19;47;62
20;52;64
20;53;65
20;52;64
19;50;64
21;52;65
16;47;64
20;50;63
19;52;64
20;53;65
19;48;65
18;37;62
19;48;64
19;49;64
19;49;65
3;40;60
18;39;63
18;51;64
20;51;64
19;53;64
20;53;64
19;53;65
19;54;65
20;54;65
19;53;65
19;54;64
19;52;64
21;52;64
21;53;64
22;52;63
22;52;66
23;53;64
19;49;64
19;43;63
3;44;64
13;55;67
36;58;67
36;60;67
40;61;68
39;62;67
37;61;68
39;60;67
40;61;67
33;61;66
39;61;67
39;60;66
38;61;66
37;61;68
38;61;68
41;62;68
37;59;66
35;58;66
40;60;66
38;61;66
40;61;67
40;62;69
36;61;69
40;61;68
35;62;68
40;62;67
31;59;66
41;58;64
39;60;67
32;60;66
35;56;66
37;55;64
32;56;65
39;58;67
33;58;67
33;54;62
26;53;65
34;51;62
35;56;65
37;58;65
35;58;66
15;50;65
22;50;63
21;53;64
23;51;63
22;54;65
23;53;62
21;50;63
22;51;63
20;53;63
23;54;65
20;53;65
23;55;66
17;52;65
21;43;63
20;46;63
3;34;61
19;46;64
18;51;63
19;55;65
17;54;65
21;55;66
20;53;64
21;54;65
20;42;60
3;45;63
16;44;62
20;48;63
20;54;66
24;55;66
20;54;63
19;53;65
20;49;65
3;44;63
19;42;63
19;43;59
23;53;63
18;51;65
19;54;65
21;55;65
20;54;65
19;52;65
3;45;62
17;42;62
18;50;63
20;52;65
19;52;64
19;54;63
19;53;64
19;53;64
21;51;64
3;43;64
21;49;62
3;44;64
20;47;63
21;53;64
20;53;65
18;53;64
21;52;65
19;44;63
20;48;64
14;57;69
33;59;70
38;59;69
39;62;72
42;62;70
35;59;67
18;58;71
30;57;67
34;60;71
41;63;71
40;63;71
19;59;69
42;63;73
39;67;76
41;68;76
40;68;76
41;66;76
