MIN;AVG;MAX
9;69;77
51;72;76
49;71;77
53;71;77
55;70;76
54;72;77
65;73;77
54;69;79
59;71;77
45;70;77
60;72;77
54;70;77
59;72;77
47;71;77
27;68;77
5;62;74
45;67;76
52;70;76
55;72;77
13;70;76
50;71;76
50;70;76
55;71;77
48;70;76
51;71;76
48;69;76
26;61;75
42;49;52
40;49;52
41;50;52
40;49;52
39;50;52
39;49;52
42;49;52
35;49;53
39;48;52
37;49;52
38;50;52
40;49;52
40;50;52
41;49;52
38;49;52
38;49;52
41;50;52
39;50;52
39;48;52
37;49;53
41;50;52
39;49;52
39;50;52
40;50;52
37;50;52
41;50;52
41;49;52
37;49;52
39;49;53
38;49;52
35;48;52
42;50;53
37;48;52
38;50;52
37;50;52
39;49;52
38;50;52
41;50;53
39;49;52
40;49;52
38;49;52
37;50;52
38;49;52
40;50;52
40;50;52
37;49;52
41;50;53
39;49;53
39;48;52
37;49;52
40;49;52
41;50;52
38;50;52
41;49;52
37;50;52
38;49;52
39;49;52
38;49;52
38;50;52
41;50;52
38;49;52
39;49;52
38;49;52
35;49;52
40;50;52
40;49;52
36;48;52
39;49;52
37;49;52
33;47;50
22;48;52
40;49;52
38;49;52
40;50;52
39;50;52
39;50;52
40;49;52
36;47;52
35;47;52
38;49;52
40;49;52
40;49;52
36;49;52
36;49;53
38;49;52
37;48;52
37;48;52
41;50;53
37;47;52
37;47;52
35;46;52
4;45;52
8;44;49
21;39;49
33;44;49
14;37;49
21;34;46
18;31;38
24;44;50
32;47;51
34;48;51
33;46;51
3;40;49
25;46;50
33;47;51
36;48;51
33;46;50
24;44;50
37;46;51
33;46;51
39;49;52
40;49;52
36;48;52
38;49;52
36;49;52
39;49;53
41;49;52
40;49;52
41;50;52
34;48;52
39;49;52
41;50;52
39;50;52
36;47;52
37;46;51
38;48;51
36;49;52
40;49;52
41;49;52
36;50;52
38;50;52
39;49;52
37;49;52
41;49;52
41;50;52
39;49;52
36;49;52
40;50;52
41;49;52
36;50;52
34;49;52
37;49;52
34;45;52
30;44;52
7;42;52
16;40;48
26;44;48
30;44;48
32;45;48
35;45;48
35;44;48
35;45;48
33;44;48
29;45;48
24;42;47
23;43;48
34;45;48
35;46;48
34;45;48
33;45;48
32;45;48
33;45;48
29;42;47
5;38;48
26;44;50
23;43;50
20;32;49
19;40;50
22;43;50
21;27;47
21;25;27
15;24;26
22;24;27
22;26;27
22;32;49
19;25;44
24;46;50
26;47;50
24;41;50
22;39;50
25;45;50
13;44;50
22;46;50
22;43;50
7;42;50
25;45;50
14;42;49
23;41;50
25;46;50
36;48;50
24;45;50
13;44;50
25;46;50
18;42;50
22;46;50
26;47;50
35;47;50
36;47;50
37;48;50
36;48;50
36;47;50
35;48;50
37;48;50
26;47;50
37;47;50
32;47;50
34;47;50
33;47;50
36;48;50
36;48;50
36;48;50
37;48;50
37;48;50
34;48;50
33;48;50
36;48;50
35;46;50
25;45;50
23;46;50
15;44;50
18;45;50
16;44;50
28;44;50
24;45;50
3;43;49
17;43;50
28;44;50
7;42;49
24;44;49
15;43;50
17;34;48
3;38;46
31;44;49
27;34;49
17;42;49
25;39;50
17;42;50
25;37;50
3;42;50
24;45;50
17;42;49
27;37;50
17;39;50
30;45;50
35;47;50
17;40;50
29;43;50
35;47;50
35;45;50
3;43;50
29;44;50
33;45;49
34;46;49
31;45;49
33;46;49
16;43;52
31;46;52
18;46;51
16;46;51
16;46;51
18;40;51
24;38;51
23;39;51
3;42;50
19;45;51
17;43;51
26;37;50
10;44;51
3;44;52
15;45;51
26;47;51
3;41;50
18;44;51
26;41;51
18;36;50
29;43;51
18;40;51
30;43;51
3;44;51
20;45;51
3;40;50
3;42;51
20;43;51
19;44;50
34;45;50
29;44;50
35;45;49
29;45;50
33;45;50
19;44;48
30;44;50
32;46;51
34;46;51
24;48;51
39;49;51
40;49;51
41;48;51
39;49;51
38;49;51
40;48;51
39;49;51
38;49;51
41;49;52
38;49;52
40;48;51
39;48;51
39;48;51
38;49;51
40;48;51
38;49;51
