MIN;AVG;MAX
10;58;71
38;60;72
39;60;71
32;63;71
39;61;72
40;61;72
35;60;71
39;62;72
41;61;72
30;60;71
34;61;72
8;56;69
39;59;70
37;61;71
38;62;72
32;60;72
38;62;72
32;61;71
40;62;72
39;61;71
41;62;72
36;61;72
39;61;71
38;62;72
39;59;72
33;60;71
37;59;70
38;60;68
38;60;68
38;61;71
38;62;72
35;58;70
31;58;67
29;54;64
31;58;69
39;61;71
33;60;70
39;60;70
33;62;72
39;61;73
32;61;74
39;60;72
30;60;73
32;55;70
27;58;68
37;58;70
33;60;73
40;60;73
31;60;73
35;59;76
37;61;78
30;57;76
8;47;79
19;46;67
20;55;68
20;57;69
21;57;68
23;56;69
23;57;69
26;56;69
19;55;69
24;58;70
24;56;70
23;58;70
23;57;71
24;55;70
22;59;70
22;57;69
24;56;69
22;57;69
22;57;70
27;59;70
36;60;70
35;60;70
37;60;69
34;60;70
38;61;71
36;61;70
30;62;70
36;61;71
34;60;70
