MIN;AVG;MAX
5;46;76
21;49;59
20;55;62
20;51;60
21;53;59
32;53;60
13;49;95
28;51;62
34;56;63
36;56;64
36;57;63
34;58;63
29;56;64
33;55;62
34;57;63
34;54;62
32;56;63
36;57;64
8;51;63
30;50;58
32;49;60
31;53;62
33;54;63
29;48;61
33;50;61
29;46;61
24;48;59
25;50;62
30;52;62
33;57;63
36;58;63
33;56;64
36;58;64
33;59;65
36;59;65
33;54;64
27;49;59
31;50;59
25;47;57
39;59;70
36;60;72
30;54;63
35;57;64
30;58;66
32;55;66
33;58;67
35;57;67
26;60;67
34;60;67
35;60;67
37;60;67
36;59;67
36;59;66
34;59;67
31;53;62
33;55;70
35;59;70
37;58;71
28;51;61
31;54;62
34;56;66
27;58;67
32;56;67
33;58;68
36;59;69
30;57;69
