MIN;AVG;MAX
5;52;83
14;52;69
22;58;71
17;58;71
20;59;75
35;63;74
35;62;75
32;61;75
26;62;75
24;60;70
39;62;71
39;61;71
38;59;70
34;60;71
9;58;69
39;56;66
38;59;69
38;62;72
38;62;71
36;60;70
39;62;71
38;61;71
41;61;71
39;60;70
35;61;71
35;58;67
38;59;72
40;62;72
37;61;72
36;61;71
38;61;71
40;61;71
39;62;72
37;58;72
18;60;87
7;59;88
36;62;78
37;63;77
32;62;77
40;63;78
25;61;75
40;63;78
41;63;78
40;63;78
40;63;78
39;63;78
38;63;78
40;63;78
40;63;78
40;63;78
41;63;78
36;63;78
40;64;78
35;64;78
39;63;78
41;63;78
40;63;78
42;63;78
42;63;77
36;63;77
41;63;78
40;63;78
41;63;78
32;60;76
39;61;78
38;63;77
39;62;76
22;62;77
30;63;77
40;61;74
40;63;73
38;62;73
25;57;67
36;60;72
25;58;68
36;59;70
39;62;73
37;60;72
27;54;68
34;58;69
35;59;69
38;58;68
32;55;65
31;59;68
39;61;69
39;60;71
37;61;70
24;55;67
24;59;70
37;62;73
39;62;73
39;61;73
34;59;70
31;62;74
35;63;75
42;62;74
35;63;75
34;62;74
40;62;74
33;63;75
34;63;74
18;60;72
37;61;72
40;62;75
36;61;76
40;61;76
40;63;78
38;64;79
41;63;80
40;63;80
38;63;80
42;63;79
43;64;79
33;63;80
