MIN;AVG;MAX
8;53;71
33;57;71
7;55;67
35;58;74
37;61;75
39;61;75
33;58;74
29;60;74
29;59;75
38;61;75
33;58;73
32;54;66
28;52;63
26;52;69
36;59;72
27;58;72
32;59;72
27;61;72
36;58;70
27;57;71
38;59;72
27;60;74
30;57;67
33;54;69
34;56;71
33;56;73
29;57;76
30;62;76
33;60;77
28;59;79
28;61;78
29;61;77
38;61;77
30;63;81
40;63;81
37;64;81
40;62;80
29;62;83
39;63;81
39;63;81
32;63;81
31;64;81
30;63;80
29;60;82
18;53;76
32;61;77
29;64;80
29;63;78
14;58;78
36;60;71
37;59;66
30;58;68
32;47;62
33;58;69
33;58;72
33;55;71
9;52;69
4;51;67
4;56;65
20;50;63
6;46;57
27;58;70
15;60;74
