MIN;AVG;MAX
3;58;112
9;58;101
21;64;101
40;63;105
40;63;100
39;63;102
38;63;99
40;64;103
39;64;101
35;63;97
11;61;98
31;63;98
16;63;96
30;65;95
41;63;94
42;62;96
26;62;95
38;63;94
38;64;93
40;64;98
38;63;95
38;64;96
39;62;95
37;63;94
38;62;97
36;65;95
39;64;96
40;63;96
46;63;95
40;61;95
36;64;95
39;62;94
41;63;97
38;64;98
37;63;98
34;63;94
43;63;98
37;63;96
34;64;95
37;63;94
36;63;94
43;63;95
13;61;94
37;63;91
3;61;93
12;61;90
21;59;94
38;62;86
5;62;97
24;61;92
35;61;93
38;63;97
9;61;96
31;63;94
25;63;101
35;62;98
28;62;92
36;62;92
39;64;94
38;63;93
36;62;94
35;64;94
30;63;92
34;63;92
40;63;93
39;63;96
19;62;100
37;64;97
34;63;99
30;62;94
7;58;106
23;62;102
21;62;104
40;64;102
19;63;97
26;63;102
20;61;99
23;63;94
17;64;96
39;63;96
34;64;96
38;64;97
23;64;100
21;64;92
39;63;97
29;63;97
40;63;98
26;64;100
39;64;98
41;63;98
39;64;97
34;64;99
32;65;101
39;65;101
38;64;99
39;64;99
39;63;99
40;63;101
35;63;100
38;64;102
4;61;99
34;63;85
32;60;87
24;53;82
40;63;84
45;63;83
33;65;82
44;63;85
28;63;85
34;62;83
12;61;108
7;57;108
10;60;90
11;63;86
7;57;94
35;63;91
37;65;90
39;62;91
35;64;90
35;64;91
33;64;88
36;63;90
26;63;90
36;64;88
37;64;88
37;64;91
6;56;93
35;64;83
35;63;87
31;62;86
32;64;81
35;61;82
29;61;84
35;59;81
37;63;80
21;60;82
31;62;83
35;63;84
33;63;80
23;61;82
34;62;81
41;63;83
30;60;82
31;63;83
35;62;83
40;63;83
40;64;82
32;61;82
29;63;83
33;60;83
32;63;82
33;64;86
41;63;82
39;62;83
30;62;83
25;62;84
36;61;83
34;64;83
30;61;82
34;60;82
35;63;83
26;62;83
27;63;85
33;63;84
24;62;83
24;62;83
41;62;82
28;62;82
30;62;83
31;64;83
32;63;83
29;59;81
37;62;83
31;63;83
23;60;83
28;63;82
29;62;81
18;60;82
32;64;82
45;64;83
38;63;82
38;63;83
26;60;83
33;61;81
34;64;82
34;63;83
24;61;83
21;62;83
33;64;82
38;63;86
36;63;83
36;63;84
41;64;84
35;64;83
42;64;83
25;60;81
31;62;82
33;64;84
41;64;84
44;63;83
33;63;84
39;64;84
31;63;85
44;64;84
38;64;84
42;64;84
35;63;83
28;63;84
35;64;84
34;65;84
36;63;84
34;64;84
41;64;83
34;64;87
34;64;83
43;64;84
44;64;84
40;64;84
42;63;83
35;64;82
30;63;84
31;61;79
39;62;82
38;62;82
33;63;84
35;61;81
34;61;79
32;63;83
30;61;83
41;63;85
36;64;83
42;64;84
31;62;82
39;63;83
37;61;82
3;59;81
3;60;80
10;61;79
26;56;78
20;60;78
