MIN;AVG;MAX
6;57;104
22;60;95
41;63;97
40;64;98
29;62;84
17;60;86
36;63;84
31;64;87
37;64;87
23;63;86
28;61;85
23;62;81
37;61;80
31;63;80
34;63;81
43;62;80
9;60;74
29;58;77
34;63;79
43;62;81
41;62;80
37;63;80
42;63;79
42;62;79
36;64;78
41;62;80
40;62;79
41;62;79
43;63;79
35;61;78
35;62;75
41;61;76
35;61;79
33;63;79
36;63;79
36;63;83
39;63;81
39;63;82
35;63;81
40;63;92
40;63;92
5;59;82
6;49;70
24;58;70
34;58;69
31;60;68
33;61;70
16;53;68
13;54;68
16;50;66
33;58;69
29;55;67
10;54;66
33;58;67
33;59;65
33;60;67
36;59;66
33;57;66
36;59;67
