MIN;AVG;MAX
4;54;89
6;50;75
22;60;74
39;62;72
38;62;75
34;60;74
3;57;79
23;60;76
15;60;76
35;60;75
34;62;74
31;61;76
37;61;76
26;60;76
40;62;78
28;62;79
32;62;78
36;62;77
41;64;80
35;63;79
33;62;81
39;63;80
32;64;81
37;63;79
40;62;81
33;63;80
41;63;80
31;65;80
41;63;81
40;63;81
39;64;81
38;63;81
32;62;77
39;63;80
38;64;80
43;64;81
38;64;82
40;63;82
41;64;81
40;63;81
31;63;78
41;62;80
32;64;80
19;61;81
31;62;77
38;62;77
36;62;77
38;62;79
29;62;80
35;61;83
24;63;85
7;61;91
32;60;83
31;62;83
28;62;84
36;61;77
41;63;77
35;61;77
40;62;77
41;63;78
33;64;77
32;64;78
31;64;78
42;63;79
38;63;78
32;62;77
41;62;77
39;62;76
32;62;80
29;63;83
