MIN;AVG;MAX
7;65;78
38;65;78
41;69;78
44;68;77
41;65;74
30;60;74
38;63;76
16;63;75
40;65;75
39;67;76
25;66;76
35;60;72
41;65;74
37;63;72
40;64;73
32;61;73
37;60;71
20;52;71
33;59;70
23;59;71
9;55;72
37;57;71
36;65;75
40;65;75
17;63;74
37;61;75
17;58;73
32;59;72
39;61;72
40;65;74
38;62;75
37;60;72
32;57;72
30;58;71
36;59;71
44;65;80
38;65;77
30;59;71
37;62;72
38;65;75
35;67;76
41;66;76
19;57;71
39;61;70
34;60;69
35;58;67
37;55;66
35;55;65
28;54;64
38;58;69
37;59;66
37;60;67
36;60;67
7;56;65
18;56;77
42;68;79
39;59;68
32;56;66
33;61;70
36;59;70
20;56;68
20;53;67
35;57;67
36;59;70
34;57;69
16;58;70
36;56;64
25;55;65
38;57;70
37;63;73
37;61;71
51;61;68
35;61;70
33;58;72
46;56;63
28;53;64
35;54;61
31;57;65
33;56;67
38;58;68
29;55;66
35;57;68
33;56;70
40;61;70
38;57;67
24;54;67
38;58;68
35;61;71
39;58;67
37;60;70
37;60;72
36;58;70
31;61;70
38;57;67
35;56;64
36;56;64
37;57;65
36;57;68
37;60;68
37;59;65
