MIN;AVG;MAX
9;46;52
36;47;52
37;48;51
15;45;51
38;49;51
35;45;50
28;45;51
35;48;52
36;49;52
37;48;51
36;48;51
39;48;51
20;43;50
21;43;51
36;48;51
36;47;51
34;47;51
13;46;56
37;51;57
10;42;55
15;44;54
27;44;51
19;48;54
38;51;54
37;48;54
36;48;51
35;49;52
35;49;52
25;48;51
22;49;54
35;51;55
37;49;51
36;48;51
34;49;52
37;49;51
33;49;51
22;48;54
38;51;54
36;50;54
34;49;51
34;49;52
36;49;51
22;48;54
35;49;54
38;48;54
33;47;51
37;49;51
36;48;52
33;48;51
22;50;54
35;51;55
34;47;51
34;47;51
37;49;51
31;46;51
34;48;52
28;49;52
35;49;53
36;49;52
37;49;52
37;49;52
34;49;52
35;50;52
33;49;52
34;47;52
28;46;51
33;47;52
29;46;52
33;47;52
37;49;52
36;48;52
35;48;52
37;50;52
16;45;52
38;50;54
35;51;54
38;51;54
34;49;54
36;51;54
36;50;54
34;51;54
37;50;54
35;49;54
31;48;54
33;46;53
5;41;53
29;42;47
28;42;49
27;40;46
17;36;47
7;26;45
14;43;47
16;34;46
20;38;45
3;38;46
18;38;46
7;38;47
4;39;47
5;34;46
14;35;47
4;37;46
16;31;48
16;35;47
18;42;48
15;35;48
16;27;46
19;40;48
17;39;48
16;36;48
17;40;48
16;40;48
16;38;48
16;37;48
16;39;48
16;39;48
15;35;48
15;40;48
16;35;47
16;34;47
14;39;47
19;41;48
16;38;47
14;36;47
17;39;47
17;40;48
16;41;48
14;40;47
14;42;48
14;41;48
16;41;48
17;41;48
17;41;47
17;40;48
17;40;48
15;41;48
17;40;48
16;41;48
16;41;48
15;40;48
17;40;47
16;41;48
17;40;48
16;38;47
13;35;45
16;38;48
16;34;47
17;37;46
16;36;47
6;37;47
29;43;47
17;37;47
18;39;47
17;31;46
16;35;46
15;37;46
26;41;46
27;40;46
3;38;47
5;33;46
6;27;44
15;29;46
12;34;48
14;29;46
18;30;45
21;44;51
19;41;53
16;42;48
17;42;48
16;40;48
16;40;47
20;42;48
17;40;48
17;43;48
20;44;48
