MIN;AVG;MAX
5;43;59
18;39;53
30;47;54
12;45;51
8;37;54
23;36;45
21;36;44
27;40;45
30;39;48
32;46;52
28;47;52
31;47;51
8;41;49
28;44;50
32;47;53
31;48;52
25;46;53
31;48;52
28;41;46
27;43;47
25;42;47
24;38;44
26;38;44
25;37;44
29;42;46
19;41;45
19;37;45
25;40;44
25;41;46
28;41;47
27;43;47
26;39;45
25;38;45
22;37;45
23;40;45
20;38;46
18;41;47
20;42;48
21;37;48
27;42;48
28;43;49
28;44;50
30;43;49
29;46;49
27;46;50
29;45;50
22;45;50
30;47;50
31;45;50
28;46;50
27;46;50
30;47;50
31;45;50
30;47;50
22;45;50
27;46;50
28;46;50
30;44;50
27;45;50
29;43;50
28;45;50
31;47;50
30;46;50
29;46;50
30;47;50
30;46;50
30;46;50
20;46;51
29;46;50
23;45;50
28;44;47
25;41;47
20;37;47
21;39;47
28;43;47
25;41;46
28;42;46
16;42;47
10;41;47
25;43;53
31;48;53
29;44;52
30;44;47
28;44;48
29;44;47
30;44;48
31;45;48
30;45;48
30;44;47
30;45;48
31;44;48
29;43;48
30;40;47
27;41;50
31;47;54
34;46;54
32;48;54
31;48;54
30;47;53
28;49;53
32;44;47
28;43;47
33;45;47
26;41;47
29;42;47
27;43;47
26;40;45
