MIN;AVG;MAX
13;68;80
23;68;82
33;66;83
47;69;74
46;68;75
38;68;75
46;65;74
45;65;73
30;64;72
46;67;75
46;65;74
40;56;64
47;63;72
44;63;74
41;63;73
40;64;73
20;62;73
45;64;72
45;66;76
45;71;76
24;69;76
47;68;75
21;65;75
39;64;72
46;66;74
46;67;74
50;69;74
50;70;75
48;70;75
48;70;75
49;69;75
46;70;75
49;70;75
46;70;75
50;68;75
46;68;75
46;66;74
45;63;75
45;64;74
46;70;75
38;66;75
34;64;74
49;68;75
45;64;74
47;68;75
47;68;75
45;65;74
48;69;75
45;64;75
46;67;75
43;69;75
47;70;75
45;70;75
49;70;77
46;69;75
49;69;75
44;68;75
43;64;74
36;62;75
44;66;72
46;68;75
35;61;69
44;66;73
48;68;74
46;65;74
45;64;70
47;69;74
48;70;75
49;69;75
37;64;75
39;65;75
37;60;74
38;76;85
45;66;74
46;66;74
49;67;75
41;68;75
46;65;73
46;66;71
48;69;75
41;66;75
47;68;74
49;66;74
45;68;74
38;62;74
44;66;73
50;66;73
46;66;74
35;61;74
44;69;84
50;74;86
46;68;75
49;69;74
49;70;75
48;68;74
50;67;75
34;61;73
46;73;85
56;78;86
44;70;86
47;74;84
49;72;82
48;68;74
46;67;75
43;68;74
47;68;74
46;67;73
46;68;74
48;69;75
49;68;75
49;69;75
50;68;75
42;64;74
41;74;85
48;70;83
49;67;73
48;66;72
45;68;75
49;66;74
46;68;75
46;68;74
49;67;73
48;67;74
39;63;73
46;67;75
46;66;75
42;64;74
48;70;75
46;67;74
46;65;74
44;64;75
43;64;74
45;67;74
49;64;73
50;68;75
56;68;75
45;63;71
45;68;73
50;66;75
41;60;69
44;65;71
48;65;73
20;64;74
41;66;75
49;68;74
45;67;75
46;66;74
45;67;75
49;66;75
45;65;73
48;65;75
46;66;74
47;70;75
35;61;72
40;64;75
43;66;75
31;60;73
42;64;74
48;69;75
47;68;75
48;70;75
40;68;75
46;61;73
47;65;75
40;61;73
45;75;85
49;69;75
44;61;73
56;78;87
49;70;75
49;67;74
47;70;82
41;72;84
55;74;84
48;71;85
56;76;86
37;63;74
45;67;75
43;63;75
49;72;80
51;72;82
54;78;85
45;67;73
47;68;79
57;78;85
50;70;83
40;61;73
39;65;80
46;67;84
