MIN;AVG;MAX
13;75;89
25;81;90
19;77;87
41;81;88
53;83;89
30;80;88
51;77;86
44;75;83
35;74;83
19;72;81
45;75;83
45;74;85
42;76;86
52;79;86
21;78;86
18;71;84
46;71;82
49;76;84
50;74;83
50;79;86
45;75;84
39;70;79
51;75;82
50;76;84
49;79;84
45;76;83
50;77;82
48;78;84
44;77;86
50;79;84
48;72;80
52;78;85
50;78;86
52;82;87
17;74;85
50;77;83
49;77;84
48;72;80
45;73;79
37;69;78
46;71;78
44;70;79
48;73;83
20;72;82
51;76;83
46;71;81
47;75;83
49;76;85
53;79;85
53;79;86
53;77;85
27;70;80
49;75;82
51;74;81
48;73;81
40;69;81
42;72;78
42;70;81
48;74;83
45;73;81
52;77;84
47;71;78
52;78;84
