MIN;AVG;MAX
3;48;80
11;44;65
24;55;64
32;56;64
31;56;63
29;55;63
33;54;64
31;55;65
32;55;63
33;55;64
34;56;65
28;55;63
28;54;63
33;56;63
27;54;63
30;55;64
18;52;64
20;53;63
35;56;66
30;58;67
32;57;66
36;58;66
30;57;67
35;58;67
26;58;66
34;58;67
35;58;67
35;58;67
25;58;67
34;58;66
35;58;67
31;58;66
34;58;67
33;58;67
34;59;68
36;59;67
35;58;67
30;58;67
32;58;68
36;59;68
34;57;67
32;58;67
36;58;67
25;58;68
35;58;67
32;59;68
32;59;66
32;59;68
26;59;67
29;58;68
31;57;68
38;59;67
34;56;67
26;59;68
31;58;68
33;58;67
34;58;67
32;59;67
35;58;67
30;58;67
31;59;67
32;59;68
27;55;65
34;57;67
33;57;67
34;57;67
15;55;66
24;56;68
28;57;67
21;53;67
20;56;67
34;58;66
24;55;66
30;56;65
9;52;62
29;53;68
34;59;68
26;56;65
28;49;66
35;58;68
