MIN;AVG;MAX
6;80;112
25;78;95
43;79;95
33;77;95
34;83;94
48;87;95
33;83;96
46;79;90
45;73;91
28;79;92
11;74;89
35;73;89
17;65;83
37;68;87
28;71;89
32;76;90
34;76;89
43;75;90
31;69;88
41;76;93
6;72;87
23;74;94
38;78;98
42;88;101
48;86;101
42;87;101
26;76;96
34;66;83
26;51;76
24;53;83
24;53;81
20;56;89
31;72;94
39;87;102
40;79;101
35;75;91
19;65;86
24;55;84
22;58;87
30;57;89
33;63;92
40;83;98
36;82;99
32;85;97
37;83;95
38;71;94
28;61;88
26;57;90
24;66;94
27;66;98
39;75;102
8;74;97
8;83;114
34;84;100
47;87;99
50;89;101
54;91;99
51;91;103
47;89;100
48;89;100
50;82;99
47;86;100
48;93;101
45;87;101
45;85;95
43;83;97
35;80;96
29;76;91
31;74;91
36;73;87
31;68;90
38;75;95
41;78;94
36;77;93
41;75;89
37;77;95
7;85;97
35;82;102
35;79;103
35;72;95
32;68;96
36;70;97
32;73;96
45;84;102
40;88;104
47;90;103
36;89;102
36;75;102
32;77;93
35;65;90
35;66;88
23;66;91
33;67;91
46;80;99
