MIN;AVG;MAX
5;45;80
16;49;65
13;51;63
23;51;62
16;58;68
37;59;70
28;58;69
17;56;69
26;54;68
8;57;66
27;51;64
31;53;69
31;58;67
28;58;69
35;59;70
15;56;70
32;51;63
35;59;69
36;59;70
34;58;68
32;57;68
29;57;68
31;53;62
35;56;66
36;60;70
34;59;69
32;58;71
15;52;67
28;53;64
34;57;68
33;58;69
35;59;70
30;56;71
34;58;68
24;53;62
31;54;63
35;57;68
32;53;64
31;54;65
33;56;67
32;56;67
34;56;66
18;53;66
30;55;69
36;59;68
34;57;66
16;54;68
33;57;67
31;57;74
4;53;75
24;54;75
28;63;83
36;60;74
34;60;73
34;60;75
36;60;73
28;61;75
36;62;75
37;60;75
35;61;73
36;60;72
36;60;74
21;56;70
36;61;74
29;60;70
19;56;72
36;62;83
21;55;73
24;61;84
33;62;84
34;61;76
27;62;75
35;61;75
37;61;73
37;60;74
35;62;75
38;60;75
37;58;73
26;61;74
36;60;74
34;60;74
35;61;74
36;61;75
35;61;74
36;61;74
34;61;74
35;60;72
36;61;74
34;61;73
34;59;74
32;58;72
9;55;71
33;59;80
34;62;81
38;60;73
31;60;75
31;57;81
39;61;82
36;63;78
31;61;74
38;61;73
35;61;72
28;62;74
37;59;73
34;60;71
37;61;75
36;60;74
35;60;74
35;61;73
34;60;73
22;61;74
34;60;69
35;62;83
21;62;80
38;62;83
36;61;75
36;61;74
36;61;74
26;62;76
30;59;76
36;59;72
35;61;74
35;59;74
36;61;73
36;61;74
28;57;75
3;59;73
