MIN;AVG;MAX
9;55;77
26;56;71
35;53;71
37;56;70
37;60;71
37;60;69
19;57;70
35;58;68
38;59;69
35;58;69
24;55;67
7;55;66
29;52;64
38;56;68
38;58;67
21;49;67
28;56;65
33;58;67
36;57;71
29;55;66
39;57;67
33;57;70
39;59;69
37;58;69
39;57;70
39;58;71
37;60;72
38;59;72
37;59;71
11;51;67
41;62;79
38;61;78
35;60;72
36;60;71
33;58;71
33;59;73
38;61;71
37;60;72
28;59;71
34;53;68
12;50;67
12;38;57
3;40;56
17;42;60
26;49;58
19;40;60
26;47;59
37;51;60
23;50;60
20;50;60
22;55;69
35;58;72
35;61;72
35;60;72
38;61;71
35;59;69
36;58;70
36;59;67
35;59;70
38;59;69
19;53;68
36;54;65
39;55;66
39;56;66
34;56;63
22;54;66
38;54;65
39;58;68
26;54;68
38;59;70
31;58;67
34;55;66
38;59;69
36;59;70
38;60;70
35;58;67
37;58;70
28;52;71
32;61;73
29;59;71
25;56;69
36;61;76
38;62;79
26;57;77
39;62;81
37;60;71
32;60;71
37;60;70
39;60;69
36;61;71
33;61;73
35;61;70
39;57;70
35;61;71
30;57;68
37;60;69
31;59;72
37;59;79
36;61;82
34;60;70
36;60;71
36;59;73
38;58;69
36;59;71
38;58;67
31;58;70
38;60;79
34;60;77
40;63;78
38;63;77
40;63;81
37;62;81
34;61;72
38;60;69
37;57;73
34;60;82
37;62;78
35;60;70
38;60;71
3;58;70
9;58;69
30;59;70
28;55;73
22;53;70
36;59;72
36;61;70
37;61;71
39;59;69
