MIN;AVG;MAX
13;70;81
24;66;79
49;69;79
46;70;85
50;73;84
43;70;82
46;66;83
35;62;72
47;65;75
44;58;68
44;61;71
40;57;68
29;59;69
43;59;69
33;58;69
41;60;70
16;59;70
41;62;69
46;65;72
46;62;72
23;63;72
41;58;71
47;62;73
42;60;71
27;64;71
44;62;70
49;64;72
46;64;73
45;62;71
36;62;70
45;61;71
47;64;70
36;61;71
35;56;62
38;55;63
42;58;62
46;61;69
47;63;71
43;63;70
40;62;70
45;62;70
45;63;69
46;62;68
43;60;69
44;57;62
40;58;63
41;56;68
47;61;70
46;63;71
40;58;66
47;62;70
48;64;70
49;66;71
49;65;71
45;65;70
42;64;70
47;64;71
46;63;70
43;64;71
44;66;71
45;66;70
46;65;70
48;65;70
38;61;70
46;62;71
42;65;71
44;66;71
46;63;71
49;65;71
49;67;72
50;65;71
45;67;71
49;66;71
49;67;72
48;67;72
45;66;73
48;66;72
49;66;72
48;66;71
48;66;72
45;67;72
48;66;72
48;66;71
48;66;72
48;66;73
45;67;72
48;66;71
48;67;74
49;66;72
48;67;72
49;66;72
50;66;72
50;66;71
49;67;71
49;65;71
35;63;81
34;75;84
43;64;73
49;63;68
34;63;80
48;66;79
53;72;79
52;73;80
51;72;77
50;73;80
54;74;79
51;73;80
53;70;78
44;67;78
47;68;77
45;69;82
53;71;78
49;71;78
54;72;79
52;70;78
51;73;78
54;72;78
49;72;78
45;72;82
50;69;75
50;69;75
49;67;74
44;65;75
45;62;67
43;62;70
53;73;79
50;72;78
54;73;80
47;70;81
49;68;75
49;68;74
50;68;74
45;66;76
46;70;76
46;68;75
23;67;75
49;65;76
47;67;76
48;69;77
52;71;76
50;69;76
40;67;75
46;65;75
25;63;74
59;73;79
49;72;78
47;72;78
43;66;78
42;68;77
55;71;77
47;67;77
55;72;78
44;64;76
46;64;75
49;64;74
51;63;73
49;65;74
49;65;76
43;65;75
49;64;73
49;64;73
50;66;75
49;67;75
48;67;75
51;65;75
51;68;75
53;69;75
45;66;75
45;64;75
37;66;76
40;66;76
21;62;77
26;52;69
25;57;70
25;46;65
26;56;68
22;54;67
27;54;68
28;57;68
26;59;70
28;60;70
28;61;70
28;61;70
28;60;70
25;59;69
26;56;69
26;57;67
25;56;66
27;60;68
26;57;67
27;57;67
26;57;68
26;56;68
27;58;69
25;57;69
27;58;68
27;57;68
31;57;65
27;55;66
26;55;69
27;60;69
25;56;62
28;58;68
27;60;69
27;59;68
27;58;68
27;59;69
27;60;69
27;58;66
27;61;68
28;61;69
28;59;69
28;58;69
27;58;69
28;61;69
26;58;69
27;58;67
24;51;62
27;58;68
27;56;69
23;59;69
27;60;68
26;57;72
24;46;71
8;37;66
23;61;73
23;63;73
23;64;75
47;65;75
51;68;73
51;69;74
53;66;74
44;68;76
42;69;76
44;68;75
49;71;76
52;71;76
52;71;76
51;71;77
54;71;76
54;70;76
54;71;76
48;71;76
55;70;76
54;69;76
51;68;76
50;70;76
52;70;76
53;70;76
44;64;74
54;63;73
45;62;73
49;70;75
49;67;74
59;70;75
51;69;75
50;70;75
51;70;75
52;70;75
53;70;74
44;66;75
52;69;75
53;70;75
50;69;75
45;63;73
42;67;75
43;67;76
43;63;74
45;68;75
40;68;76
43;67;76
43;67;76
43;68;76
41;66;75
23;63;75
16;56;69
13;60;70
28;62;71
22;55;70
23;59;69
21;57;69
24;55;70
33;63;70
13;56;71
36;61;71
10;54;71
12;52;68
16;41;65
12;38;69
27;67;73
31;60;72
20;57;72
11;55;72
11;54;69
18;65;71
12;45;70
19;54;66
18;60;72
21;56;73
19;67;81
22;60;72
19;49;70
19;54;69
19;58;73
12;54;72
18;58;69
18;54;68
22;63;69
19;53;68
18;55;71
19;59;71
41;65;71
41;67;71
32;62;71
30;61;71
32;55;69
42;64;70
42;64;70
40;64;70
10;57;73
22;64;73
21;59;73
19;48;73
18;47;71
26;66;73
22;61;73
41;68;73
3;64;74
18;61;71
35;62;72
40;64;72
41;66;72
43;64;72
19;55;71
3;61;73
41;67;73
3;52;71
25;63;73
4;60;73
43;68;73
39;66;73
38;64;72
40;66;72
38;65;70
13;58;67
