MIN;AVG;MAX
4;54;89
20;47;65
22;53;63
39;57;65
34;57;67
38;60;67
38;59;67
30;58;67
9;55;67
37;56;65
28;59;68
39;60;68
29;59;68
37;60;67
39;59;67
36;59;68
31;57;68
33;57;65
35;52;61
37;55;64
38;59;67
33;58;67
37;56;66
36;60;66
37;58;68
37;58;69
35;59;70
34;59;70
38;60;70
33;58;69
28;53;64
30;50;64
37;56;67
39;60;69
34;56;68
36;57;69
37;58;72
36;59;73
40;59;74
30;61;74
29;62;74
32;60;73
40;60;75
39;62;76
30;63;76
38;62;76
39;62;76
30;62;76
38;61;76
28;63;76
37;61;76
40;62;76
40;62;76
30;63;76
29;63;76
38;62;75
29;62;75
40;63;76
30;63;76
41;62;77
39;61;76
30;63;76
30;62;76
41;63;76
35;62;76
16;61;76
30;62;74
6;58;75
10;57;69
7;54;83
29;53;64
32;54;64
34;55;64
38;55;65
36;53;65
37;58;67
36;59;67
37;57;65
37;57;65
35;57;67
38;59;67
36;60;68
37;57;65
38;56;63
31;56;66
37;56;68
38;54;66
35;55;68
26;54;66
32;54;66
18;53;66
37;59;67
34;60;67
33;58;67
27;57;68
36;58;68
34;57;67
36;57;66
35;56;67
32;57;67
34;57;66
34;57;68
29;57;67
27;55;68
32;56;67
26;56;67
35;59;67
37;60;67
35;60;67
37;60;67
35;59;67
34;58;67
25;50;65
25;56;67
31;56;66
33;53;66
32;55;64
31;56;65
35;57;65
29;55;64
35;53;64
34;52;62
29;51;59
31;54;64
36;58;65
37;59;65
27;48;63
33;55;64
24;49;63
19;60;91
7;54;90
41;60;72
31;62;73
40;62;73
40;62;73
40;62;72
39;62;73
41;62;72
41;62;73
39;61;73
38;61;73
37;62;73
39;62;73
33;62;73
41;61;72
41;62;73
40;60;72
41;61;73
41;61;73
32;62;72
40;61;72
31;62;72
41;62;73
32;62;72
37;61;72
40;61;72
40;62;73
41;61;74
39;62;73
38;61;73
39;61;73
40;62;72
41;61;72
38;62;72
40;61;72
38;61;73
40;62;73
32;62;72
40;62;72
40;61;72
40;62;72
39;60;70
31;60;73
38;57;68
40;61;72
37;61;73
39;62;73
40;62;73
39;61;73
39;61;73
26;58;73
37;61;72
37;62;73
41;62;73
32;61;73
38;61;71
39;59;71
34;61;75
38;59;70
35;56;70
29;55;66
39;57;68
38;61;69
33;59;69
36;58;69
39;60;70
40;59;70
39;58;72
37;60;73
36;59;73
36;57;73
33;56;71
34;55;70
32;61;73
34;59;73
34;60;74
31;61;76
31;61;76
34;61;76
33;61;77
40;63;77
41;63;78
40;63;81
40;63;81
36;61;78
31;84;1515
31;59;78
41;59;79
30;59;79
15;60;79
26;58;74
20;58;73
36;57;69
35;60;74
28;60;72
35;59;71
18;54;72
25;56;71
24;57;71
35;59;72
31;59;72
24;58;71
26;61;73
37;60;74
34;58;70
30;59;70
31;56;68
35;57;69
32;53;63
30;52;64
7;53;64
30;53;64
36;59;66
34;60;66
32;58;66
33;53;58
30;51;62
32;53;64
18;54;63
25;56;66
34;55;64
22;54;66
21;55;66
30;54;66
32;56;66
24;59;67
20;58;67
37;60;66
35;59;66
36;58;66
15;56;88
7;52;90
32;59;73
37;59;71
35;60;72
39;60;72
29;63;72
40;61;73
36;60;72
27;57;69
33;61;72
38;62;73
40;62;72
38;59;73
35;59;68
31;61;73
40;62;72
40;59;73
38;60;70
35;56;67
35;55;67
37;57;70
41;61;71
31;58;71
32;60;71
39;60;71
39;61;72
39;60;73
38;62;74
38;62;75
29;58;71
37;57;69
36;55;69
33;58;71
34;56;73
38;60;73
40;60;74
34;59;77
42;61;76
32;62;77
38;61;78
11;60;77
6;50;69
27;51;61
31;52;59
29;50;59
25;52;59
6;56;91
32;58;73
38;61;72
26;59;71
33;59;71
39;61;73
33;62;74
40;62;74
38;60;72
31;60;73
36;58;67
30;58;69
37;61;72
38;59;72
38;61;73
32;61;72
39;59;72
31;56;72
39;57;72
27;58;72
36;55;71
33;55;74
20;58;72
35;57;66
34;59;66
35;59;66
36;60;66
37;59;66
37;59;66
37;59;66
35;59;66
30;60;66
34;59;66
36;58;66
34;59;66
37;59;66
34;59;66
37;60;66
33;60;66
36;60;66
37;59;66
34;59;66
33;60;66
33;57;65
36;56;66
34;58;66
31;58;66
36;57;64
33;57;65
21;53;63
33;55;61
30;56;63
36;57;63
36;56;62
30;55;61
35;55;60
35;56;62
29;58;64
33;56;65
33;56;63
31;57;63
34;57;63
34;56;63
33;56;64
34;57;63
35;58;63
34;56;63
31;57;62
34;55;62
36;56;61
35;55;61
34;59;70
38;59;71
34;55;62
34;55;63
29;55;63
31;54;66
38;59;67
33;53;58
49;56;59
34;55;59
34;55;58
30;53;59
32;55;61
35;53;60
34;54;59
34;54;60
35;54;61
34;54;61
