MIN;AVG;MAX
4;59;71
40;61;70
4;55;68
38;59;69
42;59;68
12;52;66
4;42;66
16;47;61
15;50;63
17;52;65
32;55;64
19;51;64
14;49;65
16;49;64
16;50;64
17;54;65
16;41;65
16;54;65
16;49;65
34;57;65
19;53;65
18;51;65
41;56;65
18;50;63
30;51;61
21;50;63
40;55;64
25;52;64
28;48;65
31;45;63
18;40;63
20;38;43
27;39;43
30;41;43
30;40;43
21;37;43
13;40;64
20;49;64
38;55;66
18;47;67
17;55;68
18;55;64
34;56;65
19;52;65
17;46;63
20;55;65
41;57;65
39;57;65
36;55;64
20;55;65
17;54;65
36;57;65
35;57;65
18;55;65
20;48;64
36;54;64
39;54;65
40;54;64
37;56;65
38;53;60
31;52;65
7;53;65
3;32;38
27;35;38
26;33;38
26;34;38
28;37;38
28;35;38
29;37;38
28;37;38
28;37;38
28;37;38
27;36;38
24;33;38
27;36;38
24;33;37
27;36;39
27;36;38
26;34;38
23;33;38
20;34;38
27;36;39
24;35;38
19;31;38
25;33;38
12;49;62
38;52;61
3;31;60
14;31;37
26;34;37
23;34;38
27;35;38
26;36;38
20;34;38
27;34;38
26;35;38
26;34;37
19;31;37
28;36;38
29;36;38
28;35;38
26;35;38
27;36;38
27;35;38
21;32;37
23;34;38
27;35;38
24;34;38
25;33;38
26;35;38
26;36;38
28;36;38
26;35;38
27;34;37
25;35;38
3;28;38
32;42;46
29;39;43
28;42;45
29;41;45
11;53;62
31;55;62
37;61;68
38;58;68
42;60;68
39;62;68
37;57;67
41;59;67
35;55;63
41;58;71
45;64;72
32;62;71
22;57;69
34;62;71
40;60;68
44;64;71
39;60;70
40;60;65
38;58;65
40;56;68
46;64;75
38;62;77
38;57;65
36;60;67
39;59;67
38;60;67
41;60;67
42;59;67
41;59;67
40;59;66
35;60;67
41;60;67
38;61;67
38;59;66
40;61;67
39;60;67
41;60;66
38;59;66
35;61;66
39;59;66
41;61;67
39;59;66
40;61;67
36;60;67
34;60;67
35;60;67
38;60;67
41;61;67
42;61;68
34;60;67
37;61;68
33;59;67
38;56;66
41;63;69
39;64;69
43;62;69
39;61;68
39;63;69
37;61;68
40;59;69
42;61;69
40;62;69
41;61;69
38;62;68
41;60;68
39;57;63
28;57;64
47;66;76
38;63;74
41;59;67
40;58;67
38;56;67
22;58;70
42;62;70
39;58;70
38;56;65
32;56;65
29;53;60
43;61;69
45;64;69
44;64;71
45;65;71
42;65;70
45;66;73
41;63;76
37;58;64
35;58;65
39;58;65
36;59;65
37;56;63
41;62;68
41;63;69
45;64;70
45;65;70
45;65;70
42;65;70
42;62;72
39;59;65
41;57;65
33;57;64
41;59;65
34;58;65
40;58;65
39;59;65
37;58;65
40;59;65
32;57;64
31;57;64
37;57;62
11;55;64
40;59;64
33;58;64
40;58;64
38;60;65
41;58;65
40;58;65
39;57;64
40;59;64
41;60;66
41;59;65
40;58;65
41;59;65
40;59;65
40;59;65
39;59;65
30;58;65
41;59;65
38;59;65
42;59;65
39;58;65
39;58;67
45;64;70
29;63;73
41;63;73
39;58;64
38;57;68
44;65;70
44;65;73
40;65;73
40;66;78
42;61;68
38;56;63
39;58;69
38;65;70
45;65;72
37;64;70
42;64;70
44;65;73
42;62;75
25;53;63
21;54;64
