MIN;AVG;MAX
8;39;50
26;40;48
32;41;49
30;44;50
21;41;49
23;44;49
28;42;50
22;43;50
19;42;49
24;44;51
7;44;50
30;41;50
33;47;52
35;47;53
27;45;51
33;44;50
34;46;51
31;46;51
33;47;51
35;48;52
24;44;51
31;45;52
33;48;52
33;49;52
30;47;51
32;46;51
29;44;51
29;44;51
29;44;51
28;44;52
30;44;52
26;43;52
3;32;50
3;37;49
25;43;49
21;38;49
20;42;49
24;41;49
21;40;48
22;40;48
7;38;47
28;43;48
27;41;48
29;41;48
28;41;47
28;42;48
26;43;49
19;42;47
11;32;40
9;30;44
25;43;47
19;43;47
26;39;45
27;41;46
24;43;47
26;42;46
26;42;46
27;41;47
26;42;46
29;43;46
28;42;46
27;43;46
25;42;46
26;42;46
28;42;46
28;43;47
29;43;47
26;42;46
27;42;46
27;42;46
26;43;47
28;42;46
28;42;46
26;41;46
14;40;45
26;42;46
25;42;47
28;43;47
25;42;47
27;43;47
28;42;47
24;42;47
27;43;46
10;37;45
25;39;46
18;40;48
6;31;39
17;40;48
16;29;48
15;27;46
19;31;46
13;34;47
18;35;45
17;24;26
17;24;26
18;24;26
19;24;26
18;24;26
18;24;26
19;24;26
17;23;26
16;23;26
19;24;26
18;24;26
19;24;26
19;24;26
19;24;26
18;24;26
18;24;26
19;24;26
19;25;26
18;25;26
17;24;26
18;23;25
3;22;25
3;22;26
17;24;26
16;24;27
19;24;26
17;24;27
18;24;27
19;25;26
18;24;26
3;21;25
17;24;26
17;24;25
18;24;26
19;24;26
17;24;26
18;24;26
18;24;26
18;25;26
19;24;26
16;24;26
18;24;26
18;23;26
18;23;25
11;22;25
11;20;25
11;22;26
19;25;26
15;23;26
18;24;27
15;23;26
19;24;26
18;24;26
17;24;27
19;25;26
18;24;26
19;24;26
19;24;26
17;23;26
19;24;26
18;25;26
16;23;27
19;24;26
17;24;26
17;25;27
19;25;26
18;24;26
17;23;25
3;24;41
3;41;48
20;41;48
28;43;48
18;42;48
30;44;48
14;39;48
6;38;48
29;43;50
30;45;50
29;45;49
29;46;49
28;46;49
29;46;50
29;45;49
27;46;49
30;45;49
25;45;50
24;45;50
22;44;50
26;40;49
25;41;50
16;40;47
24;38;46
17;39;46
24;39;46
17;33;45
17;33;45
21;34;39
16;31;38
19;31;39
10;33;47
27;41;47
20;39;48
21;41;48
29;44;48
3;34;45
16;40;46
23;38;45
28;39;45
12;29;44
19;25;28
10;24;28
20;26;29
19;25;29
17;26;29
20;27;29
19;26;29
20;26;29
20;25;29
20;25;29
20;26;29
19;26;29
19;26;29
19;26;29
18;25;29
19;26;29
16;28;42
27;41;44
29;40;45
24;39;45
27;41;45
24;39;46
24;39;45
27;42;45
24;39;45
28;40;45
26;41;46
27;42;45
26;41;47
28;42;46
28;42;46
27;41;46
28;42;45
25;37;45
25;38;45
26;39;46
27;40;45
26;38;45
6;35;43
15;33;43
3;32;43
15;32;41
12;35;44
24;36;42
3;21;36
12;35;43
15;35;42
3;28;41
14;33;43
3;36;43
19;37;42
20;37;43
24;38;43
26;38;44
28;39;43
28;39;43
27;39;43
28;39;44
28;39;44
23;39;43
25;39;43
23;39;43
26;39;43
27;39;43
27;39;43
27;39;43
28;39;43
27;39;43
25;39;44
27;38;43
25;39;43
27;39;43
25;39;44
25;38;43
26;39;43
26;39;43
27;39;43
16;34;41
21;34;41
19;34;43
14;34;43
29;41;46
25;40;46
29;41;46
24;40;46
28;40;46
24;40;46
26;39;44
24;38;46
25;40;47
27;41;47
26;39;46
27;40;45
23;36;44
13;33;43
15;32;41
15;30;42
25;37;43
24;36;42
16;31;42
27;36;42
23;35;43
23;36;42
18;34;41
15;35;42
25;38;43
23;36;43
24;35;41
23;34;38
20;34;40
9;33;40
20;35;42
20;35;42
15;31;41
15;31;42
3;28;40
19;36;42
14;32;43
13;23;42
14;28;43
14;27;43
14;29;42
15;34;42
24;38;42
15;38;42
25;39;43
16;36;42
27;39;43
26;39;43
15;33;42
3;28;42
18;32;42
21;37;42
27;38;43
25;39;42
18;34;42
15;35;41
20;35;42
24;37;43
17;35;44
13;33;44
20;36;44
15;31;39
18;34;43
25;39;42
25;37;44
28;39;44
27;40;44
24;40;44
29;40;44
27;40;44
27;40;45
26;40;44
27;40;44
26;40;44
25;38;44
