MIN;AVG;MAX
13;75;89
25;81;90
19;77;87
41;81;88
53;83;89
30;80;88
51;77;86
44;75;83
35;74;83
19;72;81
45;75;83
45;74;85
42;76;86
52;79;86
21;78;86
18;71;84
46;71;82
49;76;84
50;74;83
50;79;86
45;75;84
39;70;79
51;75;82
50;76;84
49;79;84
45;76;83
50;77;82
48;78;84
44;77;86
50;79;84
48;72;80
52;78;85
50;78;86
52;82;87
17;74;85
50;77;83
49;77;84
48;72;80
45;73;79
37;69;78
46;71;78
44;70;79
48;73;83
20;72;82
51;76;83
46;71;81
47;75;83
49;76;85
53;79;85
53;79;86
53;77;85
27;70;80
49;75;82
51;74;81
48;73;81
40;69;81
42;72;78
42;70;81
48;74;83
45;73;81
52;77;84
47;71;78
52;78;84
21;76;84
40;66;77
34;65;76
12;56;77
13;59;71
38;61;68
36;60;67
34;56;68
35;59;67
33;55;64
35;52;61
29;51;63
35;55;66
19;58;67
19;62;67
19;61;68
22;60;68
40;63;68
16;46;65
17;56;66
15;40;64
17;41;66
20;54;64
21;55;64
20;50;64
3;53;65
21;51;65
21;49;63
37;59;65
40;61;66
37;61;65
37;61;65
38;61;65
40;60;65
36;60;65
39;61;65
40;59;65
39;60;65
39;60;65
38;61;65
36;60;65
55;62;65
38;58;64
40;60;65
52;61;65
36;60;65
32;60;66
39;59;65
40;61;65
39;60;65
39;61;65
39;61;65
38;60;66
37;61;66
39;61;65
40;60;65
40;60;65
40;61;65
38;60;65
37;61;65
37;61;65
40;61;65
39;61;65
40;60;65
37;56;64
35;60;65
37;58;65
38;58;64
40;60;65
40;60;65
40;59;64
36;60;65
37;57;64
38;60;65
39;60;65
39;60;67
35;60;65
37;59;65
40;61;65
39;60;65
39;58;64
38;57;65
34;54;63
21;58;73
42;62;73
33;59;71
40;61;72
33;56;71
13;51;68
17;45;63
24;51;63
27;49;60
17;51;63
18;45;60
16;44;64
31;56;64
15;46;65
18;48;63
13;55;67
14;57;69
39;58;68
24;56;67
26;53;67
25;55;67
20;52;68
32;51;64
11;47;67
30;49;60
31;50;60
18;47;63
18;51;63
19;50;63
17;49;62
16;55;63
15;52;64
18;51;62
31;50;59
33;49;56
32;50;59
33;49;59
31;49;61
30;46;57
30;50;62
16;44;62
18;42;62
9;48;62
19;44;61
17;48;62
12;46;64
31;51;62
16;44;59
11;46;62
33;52;63
38;52;64
14;45;61
31;53;62
14;54;68
34;54;66
37;60;67
17;50;66
20;57;68
15;43;66
17;37;47
18;42;47
32;43;47
19;49;65
20;57;67
19;53;66
18;56;66
22;57;64
38;56;63
36;57;64
37;56;66
38;57;66
35;59;69
18;59;69
34;57;67
17;57;69
18;58;69
42;65;70
22;61;69
19;53;67
14;49;67
18;57;67
20;62;68
41;64;68
23;62;68
23;54;68
11;47;68
18;59;68
54;64;68
41;63;68
54;64;68
20;62;69
18;54;68
21;61;68
21;57;67
21;60;68
19;56;65
