MIN;AVG;MAX
7;62;82
36;62;83
22;61;82
37;62;83
36;64;84
26;61;81
23;59;76
41;61;74
39;62;75
40;61;76
40;62;77
42;62;75
40;62;74
40;63;74
42;62;74
41;62;74
32;63;74
41;62;74
37;62;74
42;62;75
43;62;75
36;61;74
41;62;74
34;62;74
41;62;74
41;62;74
40;63;75
43;63;74
37;61;74
34;62;74
33;62;75
33;63;74
41;63;75
31;57;73
37;60;72
12;60;74
32;60;71
37;60;74
38;61;74
33;61;74
38;62;74
40;62;74
41;61;75
43;63;76
38;62;76
31;63;75
43;62;75
30;62;75
34;63;75
40;62;75
40;62;75
36;60;75
39;62;75
39;63;75
35;60;74
