MIN;AVG;MAX
5;60;74
16;56;72
22;59;72
36;61;70
19;59;74
29;60;71
36;60;71
13;55;69
36;57;71
52;65;71
40;64;75
15;59;72
34;60;73
28;61;76
41;64;76
35;63;76
31;66;77
40;68;77
43;67;77
44;65;76
43;66;77
41;66;75
39;65;76
40;63;74
37;65;76
38;66;76
41;67;77
40;67;77
37;64;78
25;62;77
40;72;83
24;64;82
39;64;73
9;63;80
38;66;79
28;68;80
26;66;81
40;73;80
43;72;80
38;68;74
40;70;77
45;73;79
44;72;77
40;71;77
41;70;78
39;69;77
38;72;78
44;71;79
45;72;78
39;71;77
41;72;78
45;72;78
43;71;79
46;72;78
41;73;79
46;71;79
44;71;79
27;70;81
43;76;80
42;71;80
46;75;80
39;73;80
44;70;80
39;67;79
29;64;76
