MIN;AVG;MAX
8;57;69
35;56;69
15;55;70
43;56;69
47;64;71
42;61;68
43;56;65
42;58;68
33;63;77
9;55;64
31;55;68
41;58;69
37;57;66
17;56;70
44;62;73
15;56;72
35;57;67
48;60;69
43;58;66
38;54;66
6;54;68
16;46;59
32;49;58
19;48;58
21;49;59
32;51;58
34;80;114
53;93;111
61;87;118
50;93;114
53;87;113
59;91;116
54;86;113
8;88;113
29;86;102
38;79;104
8;55;97
35;51;60
25;51;61
38;50;58
40;50;58
26;49;58
10;47;60
37;49;59
21;54;64
40;53;63
19;54;63
43;55;63
14;50;62
40;53;62
23;50;63
22;52;64
25;53;64
27;52;64
22;53;64
27;54;64
38;57;70
22;55;69
13;50;61
20;48;60
20;44;60
7;48;60
36;52;60
12;44;60
13;44;60
12;30;59
14;43;59
14;50;66
40;57;70
3;54;101
22;76;111
52;85;109
53;88;109
55;83;104
52;81;107
41;83;105
49;82;102
53;86;108
51;87;108
52;81;102
54;77;96
50;76;99
54;78;96
56;87;106
61;85;106
46;80;106
49;78;101
26;80;99
50;85;105
58;88;109
55;86;108
21;82;113
20;85;113
48;84;109
52;84;110
61;92;111
55;86;104
55;82;97
39;79;102
55;83;99
54;90;109
56;89;108
18;86;107
18;82;113
58;87;114
54;85;105
39;86;110
39;78;101
51;78;97
11;78;98
42;77;101
57;92;111
56;88;110
36;90;110
20;79;105
54;83;108
51;91;114
61;86;113
52;78;96
37;77;98
44;76;94
43;81;104
56;81;99
57;81;101
47;80;97
50;79;95
37;79;101
47;81;101
56;83;103
52;85;102
34;85;105
26;80;102
52;86;113
50;90;119
50;89;111
51;79;103
45;81;106
43;86;110
53;81;103
37;79;109
59;85;105
55;88;112
53;90;111
52;84;108
54;85;109
23;86;109
52;86;104
63;89;114
58;88;109
52;79;110
39;82;105
53;83;104
41;85;107
44;78;105
44;75;98
37;79;97
46;82;111
30;84;114
37;78;107
20;84;115
55;85;109
52;95;113
50;91;113
60;87;105
54;84;106
48;83;107
37;80;106
44;81;108
58;86;104
59;87;112
41;80;104
56;86;107
49;86;107
21;87;112
55;89;113
51;77;93
12;75;94
54;87;108
51;87;107
60;83;101
25;82;97
47;86;106
38;78;102
48;78;96
43;87;105
58;86;106
48;89;111
48;92;113
48;87;110
45;89;117
53;90;113
53;94;115
29;87;114
54;88;112
56;90;113
50;76;96
47;81;98
57;80;101
44;75;101
49;75;100
48;83;103
44;86;104
49;87;104
41;71;96
38;78;103
41;77;97
46;84;102
46;82;99
38;77;101
42;81;101
