MIN;AVG;MAX
8;64;72
42;65;72
40;66;72
41;66;72
38;68;73
43;67;71
39;67;72
41;66;72
57;68;71
34;64;71
42;63;71
43;67;72
42;67;72
42;66;72
43;67;72
39;67;72
42;66;71
43;67;72
44;68;72
42;67;72
43;67;71
38;67;72
41;67;72
42;67;72
43;66;71
41;67;71
43;66;72
43;67;72
43;67;72
36;66;72
43;67;71
40;66;71
39;67;71
43;67;71
41;66;72
42;67;72
43;64;72
43;68;72
39;67;71
40;67;72
41;68;72
40;66;71
42;67;72
40;67;72
43;67;72
41;66;70
42;67;71
42;66;72
42;67;72
42;66;71
42;67;71
42;67;71
43;67;72
41;68;72
43;67;72
43;67;71
40;68;71
42;68;71
40;67;72
43;68;71
42;67;72
43;67;72
42;68;72
42;67;72
40;67;72
43;67;71
42;66;71
42;67;71
43;67;72
42;67;72
42;67;71
43;68;72
38;65;71
41;68;72
41;66;71
42;66;72
43;66;71
42;67;71
42;68;72
42;67;72
41;67;72
29;59;71
19;56;69
17;55;69
21;58;70
20;51;69
14;61;71
40;67;74
43;65;71
42;67;72
43;66;72
43;67;72
38;64;71
35;61;71
42;63;69
41;64;71
40;66;71
42;66;72
42;65;70
42;65;70
39;65;70
41;66;70
42;65;70
21;58;70
25;60;69
20;55;66
20;54;69
20;56;68
20;60;70
20;55;68
19;57;69
20;58;70
35;62;69
40;61;69
37;62;70
40;57;70
