MIN;AVG;MAX
5;43;74
14;45;56
9;46;60
12;52;65
36;56;65
35;58;65
35;56;66
15;51;65
8;51;64
28;51;60
29;54;66
34;58;67
27;53;65
31;56;67
13;47;63
34;54;65
34;56;66
36;58;66
30;56;67
33;54;65
28;51;62
32;53;67
34;57;66
36;57;67
34;56;68
15;51;66
29;52;64
28;55;66
26;57;65
29;57;65
38;59;73
36;59;70
37;61;72
36;61;72
39;61;74
37;60;72
35;57;74
34;58;71
32;57;65
20;52;64
31;49;59
36;58;70
36;60;72
12;58;73
26;52;66
24;54;66
8;51;79
34;52;64
30;50;63
32;56;68
33;59;68
29;56;68
38;58;69
33;57;69
36;58;68
34;60;69
35;59;70
35;59;68
31;56;67
36;58;67
35;59;67
36;60;69
34;59;68
36;60;68
36;59;69
36;59;67
36;56;67
34;58;67
34;57;67
25;52;62
34;54;62
7;49;67
26;53;70
24;56;78
35;61;76
36;59;72
36;60;71
35;59;73
26;59;75
31;60;72
35;59;74
37;60;74
35;60;73
32;60;73
35;60;73
36;60;72
35;61;74
33;61;74
36;61;73
37;61;74
34;61;73
35;62;75
33;55;71
38;62;78
27;59;77
36;60;77
25;54;69
37;60;73
29;56;74
35;61;73
36;61;75
32;60;73
36;61;74
35;62;74
36;59;70
35;58;69
35;60;73
35;59;67
35;59;70
34;60;73
34;60;70
27;61;71
36;60;74
27;60;72
35;61;72
36;60;74
11;48;74
32;61;77
29;59;79
38;63;80
36;61;75
37;60;73
36;61;72
33;60;73
35;60;75
35;60;73
35;61;73
37;61;73
32;61;73
35;60;71
34;60;70
25;58;70
34;60;70
34;59;77
34;63;78
38;63;80
37;63;79
37;61;78
31;59;84
34;58;75
25;56;72
35;60;77
32;60;80
35;61;75
36;60;72
25;55;71
20;50;73
36;62;81
37;61;80
24;58;72
31;60;71
28;61;73
34;61;73
38;62;74
34;60;73
32;61;75
26;58;73
32;58;82
37;63;81
