MIN;AVG;MAX
5;45;82
11;45;62
26;57;72
25;52;66
28;55;64
34;57;65
35;56;64
30;57;64
30;56;65
36;58;64
35;57;64
31;56;65
31;56;65
21;50;61
11;48;61
30;49;59
12;50;61
26;50;60
29;47;57
32;49;58
11;49;57
29;47;56
24;47;56
29;44;55
30;45;55
29;45;55
34;48;55
33;50;61
34;52;60
13;50;60
21;49;59
36;50;58
32;49;57
19;45;59
19;50;60
24;50;59
23;49;60
23;52;60
19;49;60
17;45;61
18;45;58
19;48;61
19;45;59
18;45;58
19;48;59
35;49;58
18;49;57
20;48;60
18;45;59
21;53;60
19;50;59
18;48;58
20;47;58
22;49;58
20;49;58
18;50;56
27;49;57
28;52;59
33;51;60
38;51;59
17;47;55
35;52;57
36;55;62
38;56;65
33;51;57
31;51;56
36;51;58
38;52;58
34;53;58
32;50;57
36;51;56
34;52;57
37;52;57
36;51;56
37;51;56
35;51;57
33;52;57
34;51;57
32;50;56
38;53;59
37;53;57
33;52;58
37;52;56
37;51;57
39;51;58
39;52;58
38;53;57
39;51;57
36;49;56
35;51;56
34;50;56
34;48;54
33;48;56
35;46;55
10;44;58
37;50;56
7;45;58
15;42;59
16;50;58
19;50;59
15;47;58
16;42;58
16;45;57
17;44;55
27;48;57
34;47;58
33;53;58
37;53;58
36;53;58
18;48;58
32;50;59
28;46;55
32;48;58
21;46;56
32;51;57
30;46;57
32;49;57
32;50;58
13;51;59
35;53;59
31;53;58
32;46;57
30;49;58
31;44;54
29;45;57
31;46;57
31;44;59
10;43;57
8;30;44
37;61;73
25;56;72
30;57;71
28;63;77
26;52;76
21;41;70
29;39;43
28;38;43
20;36;43
18;32;40
19;35;44
28;40;45
31;41;45
31;40;44
23;41;45
14;40;43
16;32;43
24;38;42
27;50;70
39;61;71
38;62;75
28;61;75
27;56;73
24;46;81
21;39;45
30;42;45
30;42;45
27;42;45
31;41;45
31;41;45
31;40;45
14;44;61
36;58;63
29;52;63
24;50;60
34;50;59
33;51;59
35;49;57
22;52;62
23;54;62
40;54;61
28;49;56
22;49;58
19;44;61
18;44;58
18;43;57
20;52;60
30;54;60
39;54;62
30;53;62
38;54;63
33;56;64
34;53;63
36;51;63
10;58;89
14;52;85
37;58;67
37;57;67
26;56;66
37;56;63
35;55;64
39;58;67
36;57;71
10;56;72
11;54;65
18;48;58
18;54;63
36;57;63
18;53;63
18;54;63
16;48;62
17;44;63
14;40;60
11;45;62
37;59;67
38;59;67
38;60;67
20;55;67
26;57;67
20;54;67
31;57;66
35;53;65
34;57;66
12;54;67
12;44;61
17;53;63
16;55;63
21;57;63
37;57;63
21;57;63
40;57;62
13;56;63
36;57;63
37;57;63
37;57;63
37;58;63
31;57;63
40;57;62
33;57;63
37;58;63
19;55;63
19;55;69
36;60;70
34;57;69
38;61;70
35;62;70
32;61;71
37;62;72
37;63;72
34;62;72
35;62;72
36;61;71
37;60;71
28;59;70
