MIN;AVG;MAX
10;49;57
30;48;56
32;50;57
38;51;57
35;47;50
31;46;49
32;45;48
18;43;48
26;41;47
11;42;49
7;43;48
19;41;47
29;43;49
30;44;49
28;45;49
26;42;47
33;44;48
29;44;48
31;43;48
29;43;48
34;45;49
23;41;49
32;43;48
33;46;49
31;46;49
26;43;48
32;44;48
32;45;50
33;47;50
30;45;50
34;47;50
35;47;50
32;47;50
26;44;50
31;44;48
31;45;51
35;48;51
34;48;51
35;48;52
34;48;51
34;47;52
34;47;51
35;48;52
34;48;52
34;47;51
31;45;50
33;49;52
33;48;51
34;47;51
35;49;52
34;48;52
32;44;49
30;48;51
34;49;52
33;48;51
32;46;50
35;49;51
33;46;51
33;47;51
29;47;51
34;47;51
33;46;51
