MIN;AVG;MAX
6;56;71
8;57;70
21;55;66
35;58;72
39;62;72
35;60;72
36;59;70
38;62;71
28;62;73
36;60;72
35;60;71
26;58;69
33;59;70
24;55;70
22;46;66
34;58;70
32;57;70
26;57;69
7;54;69
23;50;62
26;48;54
31;52;62
33;55;62
34;54;62
35;54;63
32;52;62
31;50;60
31;54;60
33;57;61
32;54;62
33;53;58
31;52;60
32;53;60
27;49;59
28;52;59
31;55;60
31;51;61
30;50;60
30;56;62
10;51;62
25;32;36
28;34;36
31;35;37
30;41;62
32;57;64
26;57;64
31;53;63
34;56;64
28;54;64
35;56;63
32;56;64
31;56;64
29;52;64
23;52;63
29;52;59
31;52;62
30;54;62
27;56;60
31;54;61
29;54;59
27;52;63
29;52;59
29;51;60
32;54;62
33;57;63
33;55;63
30;55;62
30;56;63
30;50;64
33;57;65
